idx,specimen,measurement,start_time,end_time
0,FOF2-1,24.1.S.024E,2024-03-18 19:00:35.815001,2024-03-18 19:00:40.965001
1,FOF2-1,24.1.S.024E,2024-03-18 19:06:10.057002,2024-03-18 19:06:15.207002
2,FOF2-1,24.1.S.024E,2024-03-18 19:06:33.460979,2024-03-18 19:06:41.360979
3,FOF2-1,24.1.S.024E,2024-03-18 19:33:01.294973,2024-03-18 19:33:09.194973
4,FOF2-1,24.1.S.024E,2024-03-18 20:04:17.017972,2024-03-18 20:04:24.917972
5,FOF2-1,24.1.S.024E,2024-03-18 20:38:02.018012,2024-03-18 20:38:11.468012
6,FOF2-1,24.1.S.024E,2024-03-18 20:40:26.897974,2024-03-18 20:40:34.797974
7,FOF2-1,24.1.S.024E,2024-03-18 20:41:45.113000,2024-03-18 20:41:53.863000
8,FOF2-1,24.1.S.024E,2024-03-18 20:41:54.103013,2024-03-18 20:42:46.703013
9,FOF2-1,24.1.S.024E,2024-03-18 20:43:01.979974,2024-03-18 20:43:10.029974
10,FOF2-1,24.1.S.024E,2024-03-18 20:49:19.278993,2024-03-18 20:49:27.178993
11,FOF2-1,24.1.S.024E,2024-03-18 21:05:03.254963,2024-03-18 21:05:11.154963
12,FOF2-1,24.1.S.024E,2024-03-18 21:18:55.752963,2024-03-18 21:19:03.652963
13,FOF2-1,24.1.S.024E,2024-03-18 21:34:42.899988,2024-03-18 21:34:50.799988
14,FOF2-1,24.1.S.024E,2024-03-18 21:49:16.061979,2024-03-18 21:49:23.961979
15,FOF2-1,24.1.S.024E,2024-03-18 22:06:01.029974,2024-03-18 22:06:08.929974
16,FOF2-1,24.1.S.024E,2024-06-14 18:21:56.083990,2024-06-14 18:22:01.233990
17,FOF2-1,24.1.S.024E,2024-06-14 18:22:21.243017,2024-06-14 18:22:26.393017
18,FOF2-13,24.1.S.025E,2024-03-18 23:20:46.585004,2024-03-18 23:20:51.735004
19,FOF2-13,24.1.S.025E,2024-03-18 23:21:07.940994,2024-03-18 23:21:13.090994
20,FOF2-13,24.1.S.025E,2024-03-18 23:21:21.438003,2024-03-18 23:21:26.588003
21,FOF2-13,24.1.S.025E,2024-03-18 23:28:45.790009,2024-03-18 23:28:50.940009
22,FOF2-13,24.1.S.025E,2024-03-18 23:41:58.786995,2024-03-18 23:42:03.936995
23,FOF2-13,24.1.S.025E,2024-03-19 00:26:20.313013,2024-03-19 00:26:25.463013
24,FOF2-13,24.1.S.025E,2024-03-19 00:41:09.796984,2024-03-19 00:41:14.946984
25,FOF2-13,24.1.S.025E,2024-03-19 00:55:20.540991,2024-03-19 00:55:25.690991
26,FOF2-13,24.1.S.025E,2024-03-19 01:04:20.683988,2024-03-19 01:04:28.333988
27,FOF2-13,24.1.S.025E,2024-03-19 01:04:31.427000,2024-03-19 01:09:14.027000
28,FOF2-13,24.1.S.025E,2024-03-19 01:10:11.537004,2024-03-19 01:10:16.687004
