,sex,height,age
0,male,1.78,39
1,female,1.58,63
2,female,1.58,49
3,male,1.7,47
4,male,1.9,44
5,male,1.72,35
6,male,1.65,49
7,male,1.7,68
8,female,1.62,59
9,male,1.8,64
10,male,1.81,62
11,female,1.7,65
12,female,1.7,61
13,female,1.54,64
14,male,1.73,52
15,male,1.65,52
16,female,1.78,65
17,female,1.6,52
18,female,1.59,48
19,female,1.7,51
20,female,1.62,70
21,female,1.7,29
22,female,1.5,68
23,female,1.64,64
24,male,1.75,60
25,female,1.67,67
26,female,1.58,76
27,male,1.72,45
28,female,1.7,76
29,male,1.67,53
30,male,1.76,56
31,female,1.54,66
32,male,1.84,67
33,male,1.84,57
34,female,1.68,55
35,male,1.7,58
36,male,1.8,50
37,male,1.84,53
38,female,1.54,63
39,female,1.62,69
40,female,1.67,53
41,female,1.55,68
42,male,1.8,52
43,male,1.76,46
44,female,1.52,57
45,male,1.76,68
46,female,1.65,62
47,female,1.63,74
48,male,1.81,42
49,female,1.74,68
50,female,1.63,74
51,female,1.56,58
52,female,1.56,64
53,male,1.68,58
54,female,1.6,71
55,female,1.65,76
56,male,1.76,64
57,female,1.5,68
58,female,1.62,78
59,male,1.76,48
60,male,1.84,46
61,male,1.8,39
62,female,1.68,83
63,female,1.6,63
64,female,1.55,71
65,female,1.6,62
66,female,1.69,56
67,male,1.68,56
68,female,1.64,44
69,male,1.76,72
70,female,1.6,37
71,male,1.75,77
72,female,1.72,49
73,female,1.6,65
74,male,1.75,55
75,male,1.77,61
76,female,1.62,51
77,female,1.75,54
78,male,1.74,62
79,female,1.55,56
80,female,1.65,67
81,female,1.7,69
82,female,1.59,53
83,female,1.42,58
84,male,1.75,62
85,male,1.79,68
86,female,1.64,55
87,male,1.76,63
88,female,1.64,36
89,female,1.68,61
90,male,1.87,54
91,male,1.88,44
92,male,1.72,74
93,female,1.72,64
94,female,1.58,67
95,male,1.8,47
96,female,1.6,34
97,female,1.59,55
98,male,1.8,71
99,male,1.83,71
100,female,1.5,69
101,male,1.85,64
102,male,1.82,56
103,female,1.67,59
104,male,1.68,75
105,female,1.6,44
106,female,1.65,57
107,female,1.55,73
108,male,1.8,54
109,male,1.78,63
110,male,1.72,58
111,male,1.8,61
112,female,1.7,50
113,female,1.72,45
114,female,1.65,55
115,female,1.75,59
116,female,1.58,74
117,male,1.78,32
118,male,1.65,63
119,male,1.73,52
120,male,1.7,57
121,male,1.72,64
122,female,1.6,69
123,male,1.62,72
124,female,1.75,65
125,male,1.72,58
126,female,1.58,59
127,male,1.8,60
128,female,1.6,80
129,female,1.58,68
130,male,1.82,61
131,male,1.82,69
132,male,1.7,69
133,female,1.63,74
134,female,1.56,69
135,female,1.64,53
136,female,1.64,71
137,male,1.82,62
138,male,1.77,67
139,female,1.5,60
140,female,1.62,69
141,male,1.8,48
142,female,1.64,64
143,female,1.58,43
144,female,1.59,68
145,female,1.58,60
146,male,1.7,39
147,female,1.62,66
148,female,1.67,62
149,female,1.73,65
150,female,1.68,42
151,male,1.65,69
152,male,1.76,42
153,female,1.63,76
154,female,1.72,58
155,male,0.95,69
156,female,1.7,61
157,female,1.6,45
158,male,1.8,68
159,female,1.64,68
160,female,1.65,76
161,male,1.89,43
162,female,1.5,51
163,male,1.7,56
164,male,1.87,67
165,female,1.74,43
166,male,1.76,72
167,male,1.7,58
168,female,1.68,65
169,male,1.74,68
170,male,1.82,61
171,female,1.6,74
172,female,1.75,65
173,female,1.52,62
174,male,1.85,44
175,male,1.78,63
176,female,1.55,70
177,female,1.7,69
178,male,1.82,43
179,male,1.76,48
180,female,1.82,77
181,male,1.82,63
182,male,1.78,69
183,female,1.58,64
184,female,1.64,58
185,male,1.8,57
186,female,1.72,56
187,male,1.7,77
188,male,1.7,57
189,male,1.76,51
190,male,1.79,24
191,female,1.69,59
192,female,1.78,47
193,female,1.64,67
194,female,0.64,63
195,female,1.67,72
196,male,1.7,59
197,male,1.71,67
198,female,1.63,41
199,female,1.66,41
200,female,1.69,54
201,female,1.64,64
202,male,1.76,66
203,female,1.62,47
204,female,1.63,59
205,female,1.53,72
206,male,1.67,62
207,male,1.74,69
208,female,1.58,68
209,male,1.85,49
210,female,1.65,56
211,male,1.78,52
212,female,1.65,54
213,male,1.89,46
214,female,1.53,59
215,female,1.6,61
216,female,0.65,61
217,female,1.64,48
218,female,1.7,42
219,female,1.67,35
220,female,1.65,63
221,male,1.72,71
222,male,1.89,52
223,female,1.6,60
224,female,1.68,63
225,male,1.76,62
226,female,1.52,70
227,male,1.79,55
228,female,1.52,68
229,male,1.85,55
230,female,1.6,69
231,male,1.7,68
232,female,1.65,62
233,male,1.73,45
234,female,1.53,60
235,female,1.65,63
236,female,1.7,50
237,female,1.68,51
238,female,1.58,68
239,male,1.74,72
240,male,1.78,22
241,male,1.75,49
242,female,1.53,67
243,female,1.65,51
244,male,1.76,63
