sex,age,height
male,46,188
male,92,168
male,90,165
male,90,170
male,87,168
male,89,162
male,88,166
male,87,162
male,88,164
male,89,165
male,86,175
male,87,165
male,89,180
male,86,159
male,85,172
male,88,170
male,84,163
male,84,171
male,84,180
male,82,168
male,83,174
male,83,178
male,84,175
male,85,168
male,84,160
male,83,168
male,84,157
male,85,169
male,85,164
male,82,165
male,84,170
male,82,170
male,84,170
male,86,172
male,82,172
male,86,180
male,85,168
male,81,175
male,85,174
male,82,168
male,84,165
male,81,165
male,81,170
male,84,168
male,85,175
male,83,169
male,80,170
male,82,170
male,81,170
male,82,175
male,81,176
male,85,180
male,83,179
male,85,176
male,81,172
male,83,165
male,82,168
male,81,168
male,81,172
male,81,172
male,82,168
male,81,170
male,82,177
male,84,176
male,80,170
male,81,172
male,81,172
male,81,173
male,83,162
male,82,163
male,81,170
male,83,164
male,80,182
male,79,170
male,81,165
male,84,176
male,81,165
male,80,170
male,81,170
male,84,156
male,84,168
male,80,186
male,81,165
male,82,172
male,81,171
male,79,167
male,81,161
male,80,165
male,82,190
male,80,165
male,81,172
male,80,155
male,78,170
male,83,168
male,80,158
male,80,175
male,79,174
male,83,177
male,82,160
male,80,168
male,83,180
male,80,165
male,81,169
male,83,173
male,83,172
male,81,173
male,80,168
male,80,170
male,80,176
male,80,170
male,80,164
male,80,155
male,79,175
male,82,178
male,83,165
male,81,165
male,82,176
male,82,170
male,80,170
male,80,174
male,80,170
male,79,172
male,78,152
male,79,172
male,78,170
male,78,182
male,78,178
male,78,172
male,82,175
male,79,169
male,82,163
male,80,168
male,80,172
male,81,165
male,79,165
male,79,167
male,80,184
male,79,182
male,77,167
male,79,170
male,81,170
male,79,172
male,82,181
male,79,164
male,82,160
male,79,160
male,82,160
male,81,167
male,82,176
male,79,168
male,78,167
male,76,166
male,77,174
male,81,170
male,80,174
male,78,170
male,81,170
male,77,180
male,78,170
male,80,170
male,79,160
male,77,172
male,76,170
male,80,170
male,81,182
male,77,184
male,77,170
male,78,175
male,81,182
male,81,167
male,81,164
male,79,172
male,79,173
male,77,177
male,77,171
male,79,154
male,78,165
male,78,178
male,81,163
male,77,180
male,79,170
male,78,160
male,78,160
male,78,171
male,78,160
male,79,172
male,77,185
male,80,175
male,77,180
male,79,170
male,79,175
male,79,172
female,81,180
male,79,170
male,79,168
male,78,170
male,77,170
male,79,170
male,77,175
male,77,168
female,51,155
male,78,173
male,76,170
male,76,185
male,76,153
male,77,170
male,80,170
male,76,162
male,76,166
male,77,180
male,79,171
male,75,168
male,80,170
male,78,176
male,77,172
male,77,175
male,78,184
male,79,172
male,76,170
male,76,170
male,79,165
male,79,176
male,76,173
male,78,166
male,77,166
male,77,160
male,78,170
male,79,172
male,77,160
male,76,162
male,76,169
male,78,176
male,79,180
male,79,166
male,78,172
male,80,170
male,78,176
male,77,174
male,77,172
male,79,170
male,75,172
male,76,164
male,79,170
male,77,155
male,79,169
male,77,168
male,76,180
male,78,172
male,77,170
male,76,176
male,77,165
male,78,173
male,80,166
male,78,164
male,77,172
male,76,175
male,76,168
male,77,170
male,75,170
male,76,172
male,78,164
male,78,169
male,76,175
male,75,184
male,77,167
male,77,170
male,75,196
male,77,178
male,77,162
male,75,163
male,79,165
male,77,180
male,75,163
male,75,162
male,77,172
male,75,173
male,79,175
male,77,176
male,76,177
male,77,180
male,78,173
male,77,175
male,76,164
male,79,171
male,77,179
male,77,174
male,77,160
male,75,173
male,76,170
male,79,185
male,75,173
male,77,172
male,76,177
male,77,176
male,75,172
male,75,162
male,77,167
male,76,163
male,77,170
male,79,168
male,77,185
male,75,172
male,77,165
male,77,170
male,76,165
male,77,160
male,77,186
male,78,172
male,77,182
male,78,163
male,75,163
male,75,172
male,75,172
male,77,172
male,76,180
male,79,183
male,76,170
male,76,172
male,75,168
male,79,165
male,78,172
male,78,170
male,75,167
male,77,161
male,76,176
male,76,170
male,73,163
male,75,180
male,78,172
male,78,176
male,76,170
male,74,170
male,76,176
female,74,179
male,75,182
male,79,168
male,78,170
male,75,168
male,77,171
male,76,167
male,75,162
male,75,171
male,77,168
male,76,172
male,76,165
male,74,168
male,78,174
male,76,165
male,78,168
male,76,180
male,73,165
male,76,165
male,76,170
male,76,182
male,78,171
male,75,170
male,76,180
male,76,175
female,75,165
male,76,183
male,76,180
male,74,180
male,79,178
male,76,170
male,75,182
male,74,180
male,76,168
male,75,167
male,74,169
male,78,175
male,78,170
male,74,162
male,74,178
male,77,180
male,76,175
male,74,160
male,78,170
male,78,165
male,77,167
male,74,167
male,77,167
male,77,174
male,77,168
male,74,180
male,76,171
male,74,165
male,76,176
male,75,172
male,74,180
male,75,169
male,75,158
male,75,160
male,74,176
male,75,186
male,76,180
male,78,170
male,77,160
male,75,165
male,78,184
male,78,178
male,77,175
male,77,180
male,77,172
male,78,172
male,75,173
male,78,178
male,75,174
male,75,166
male,74,178
male,78,157
male,76,182
male,73,174
male,74,168
male,75,170
male,76,172
male,75,157
male,74,170
male,74,175
male,76,175
male,73,172
male,77,180
male,77,170
male,77,170
male,75,160
male,78,168
male,73,168
male,75,170
male,76,175
male,77,165
male,77,174
male,73,181
male,76,158
male,74,172
male,74,156
male,75,165
male,75,178
male,75,170
male,73,186
male,78,170
male,77,172
male,73,177
male,75,170
male,76,170
male,76,162
male,76,172
male,75,158
male,73,180
male,74,167
male,75,172
male,74,167
male,74,174
female,77,166
male,77,170
male,76,178
male,73,162
male,73,185
male,73,170
male,74,170
male,74,180
male,76,173
male,74,166
male,73,170
male,74,167
male,73,165
male,77,171
male,73,175
male,74,158
male,77,164
male,74,164
male,74,175
male,74,165
male,77,193
male,74,175
male,74,172
male,73,173
male,77,165
male,75,190
male,74,170
male,73,170
male,76,170
male,76,167
male,77,178
male,76,161
male,77,173
male,74,160
male,77,183
male,76,176
male,73,178
male,77,169
male,76,160
male,77,170
male,75,168
male,73,172
male,75,183
male,76,168
male,73,173
male,77,170
male,75,172
male,77,170
male,76,175
male,77,172
male,73,183
male,77,183
male,73,168
male,76,170
male,76,167
male,73,165
male,74,170
male,76,171
male,77,172
male,77,160
male,77,183
male,74,175
male,74,162
male,76,180
male,73,172
male,76,171
male,72,196
male,72,173
male,76,172
male,73,164
male,74,171
male,74,186
male,76,174
male,76,167
male,72,167
male,72,175
male,75,170
male,74,169
male,74,173
male,73,175
male,74,183
male,75,163
male,72,172
male,73,164
male,73,167
male,76,174
male,75,167
male,76,192
male,74,163
male,72,165
male,74,168
male,76,175
male,76,165
male,72,173
male,73,185
